Name;Accession;Organism;collection_date;country;host;strain
R-Dec-16-pT2-1;MZ670850.1;Yam mosaic virus;2016-12-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Dec-16-pT2-1
R-Dec-16-pT2-1;MZ670850.1;Yam mosaic virus;2016-12-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Dec-16-pT2-1
R-Dec-16-pT2-2;MZ670851.1;Yam mosaic virus;2016-12-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Dec-16-pT2-2
R-Dec-16-pT2-2;MZ670851.1;Yam mosaic virus;2016-12-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Dec-16-pT2-2
R-Dec-16-pT2-2;MZ670851.1;Yam mosaic virus;2016-12-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Dec-16-pT2-2
R-Jan-17-pT2-1;MZ670852.1;Yam mosaic virus;2017-01-22;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Jan-17-pT2-1
R-Jan-17-pT2-1;MZ670852.1;Yam mosaic virus;2017-01-22;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Jan-17-pT2-1
R-Jan-17-pT2-1;MZ670852.1;Yam mosaic virus;2017-01-22;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Jan-17-pT2-1
R-Jan-17-pT1-1;MZ670853.1;Yam mosaic virus;2017-01-22;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Jan-17-pT1-1
R-Jan-17-pT1-1;MZ670853.1;Yam mosaic virus;2017-01-22;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Jan-17-pT1-1
R-Jan-17-pT1-1;MZ670853.1;Yam mosaic virus;2017-01-22;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Jan-17-pT1-1
R-Feb-17-pT1-1;MZ670854.1;Yam mosaic virus;2017-02-11;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Feb-17-pT1-1
R-Feb-17-pT1-1;MZ670854.1;Yam mosaic virus;2017-02-11;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Feb-17-pT1-1
R-Feb-17-pT1-1;MZ670854.1;Yam mosaic virus;2017-02-11;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Feb-17-pT1-1
R-Feb-17-pT3-1;MZ670855.1;Yam mosaic virus;2017-02-11;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Feb-17-pT3-1
R-Feb-17-pT3-1;MZ670855.1;Yam mosaic virus;2017-02-11;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Feb-17-pT3-1
R-Feb-17-pT3-1;MZ670855.1;Yam mosaic virus;2017-02-11;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Feb-17-pT3-1
R-Feb-17-pT1-2;MZ670856.1;Yam mosaic virus;2017-02-11;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Feb-17-pT1-2
